post_id,post_title,post_class,post_subject,post_authors,post_publisher,post_year,post_lang,post_booklink,post_cover,post_pdf,post_pdf_pages,post_epub,post_frame,post_content,post_isinteractive
28,Қазақ тілі. Оқулық + үнтаспа.  1 -бөлім,2,Қазақ тілі,Г. И. Уайсова,Атамұра,2017,Казахский,http://books.atamura.kz/oc/index.php/s/6pzI8FY2XkXYaPn,28.jpg,28.pdf,128,28.epub,,,0
29,Қазақ тілі. Оқулық + үнтаспа.  2-бөлім,2,Қазақ тілі,Г. И. Уайсова,Атамұра,2017,Казахский,http://books.atamura.kz/oc/index.php/s/em5wtPR7dJqfEfC,29.jpg,29.pdf,128,29.epub,,,0
30, Әдебиеттік оқу. Оқулық.  1 бөлім,2,Литература,Б. Т. Кабатай,Атамұра,2017,Казахский,http://books.atamura.kz/oc/index.php/s/eNzWD9Eenq7BzOM,30.jpg,30.pdf,128,30.epub,,,0
31, Әдебиеттік оқу. Оқулық.  2-бөлім,2,Литература,Б. Т. Кабатай,Атамұра,2017,Казахский,http://books.atamura.kz/oc/index.php/s/jiElddNJSJY2TRS,31.jpg,31.pdf,128,31.epub,,,0
35,Дүниетану.Оқулық,2,Познание мира,"Б. К. Турмашева, С. С.  Салиш, Т. Н. Мирук ",Атамұра,2017,Казахский,http://books.atamura.kz/oc/index.php/s/O0ywxs2jO5QNVCt,35.jpg,35.pdf,112,35.epub,,,0
37,Көркем еңбек. Оқулық,2,Художественный труд,Н. А. Раупова,Атамұра,2017,Казахский,http://books.atamura.kz/oc/index.php/s/HVGnhdJ4jBkeKoj,37.jpg,37.pdf,128,37.epub,,,0
38,Музыка.Оқулық,2,Музыка,"Ш. Кулманова,  Б. Сулейменова, Т. Токжанов",Атамұра,2017,Казахский,http://books.atamura.kz/oc/index.php/s/cayStxEuNG8XN4d,38.jpg,38.pdf,144,38.epub,,,0
45,Познание мира. Учебник,2,Познание мира,"Б. К. Турмашева, С. С.  Салиш, Т. Н. Мирук ",Атамұра,2017,Русский,http://books.atamura.kz/oc/index.php/s/wrj9eiO1b1gxZi2,45.jpg,45.pdf,112,45.epub,,,0
47,Художественный труд. Учебник,2,Художественный труд,Н. А. Раупова,Атамұра,2017,Русский,http://books.atamura.kz/oc/index.php/s/1CipODifsaSdeHV,47.jpg,47.pdf,128,47.epub,,,0
50,Қазақ тілі.  Оқулық. + CD (1 бөлім),3,Қазақ тілі,"Ә.Е. ЖҰМАБАЕВА, Г.И. УАЙСОВА, Г.Т. СӘДУАҚАС",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/f5uDRO2cTFiR0q1,50.jpg,50.pdf,128,,,,0
51,Қазақ тілі.  Оқулық. + CD (2 бөлім),3,Қазақ тілі,"Ә.Е. ЖҰМАБАЕВА, Г.И. УАЙСОВА, Г.Т. СӘДУАҚАС",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/NInnwBn6hIefkqR,51.jpg,51.pdf,128,,,,0
52,Әдебиеттік оқу. Оқулық. 1 -бөлім + CD  ,3,Литература,"Б.Т. Қабатай, Ү.К. Зейнетоллина, В.А. Қалиева",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/aE8rKVz8XmPBguS,52.jpg,52.pdf,128,,,,0
53,Әдебиеттік оқу. Оқулық. 2 -бөлім + CD  ,3,Литература,"Б.Т. Қабатай, Ү.К. Зейнетоллина, В.А. Қалиева",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/OZuF7JbuUqERnpS ,53.jpg,53.pdf,144,,,,0
59,Дүниетану. Оқулық,3,Познание мира,"Б.Қ. Тұрмашева, С.С. Салиш, В.Г. Пугач",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/k7pr7GZIL9uZ01f,59.jpg,59.pdf,96,,,,0
60,Музыка. Оқулық,3,Музыка,"Ш. ҚҰЛМАНОВА, Б. СҮЛЕЙМЕНОВА, Т. ТОҚЖАНОВ, Ж. МАхАМБЕТОВА",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/VIDWtaA9hp8Xyqv,60.jpg,60.pdf,160,,,,0
61,Көркем еңбек.Оқулық,3,Художественный труд,"Í.À. Ðàóïîâà, Ә.Т. Төлебиеâ, Е.В. Дàшкеâич",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/W8ZGxv8wKU1DAoE,61.jpg,61.pdf,128,,,,0
69,Естествознание.  Учебник,3,Естествознание,"C. З. Кучербаева, И. С. Темникова, Г. К. Ташенова",Атамұра,2018,Русский,http://books.atamura.kz/oc/index.php/s/CDniYryPOcqS9VD,69.jpg,69.pdf,168,,,,0
70,Познание мира.  Учебник,3,Познание мира,"Б. К. Турмашева, С. С. Салиш, В. Г. Пугач",Атамұра,2018,Русский,http://books.atamura.kz/oc/index.php/s/JQUxk0kItVmZxEc,70.jpg,70.pdf,96,,,,0
71,Музыка. Учебник,3,Музыка,"Р. Н. Валиуллина, А. К. Маханова, Н. И. Белан",Атамұра,2018,Русский,http://books.atamura.kz/oc/index.php/s/hhOG2InKC5ChOQR,71.jpg,71.pdf,128,,,,0
72,Художественный труд. Учебник,3,Художественный труд,"Н. А. Раупова, А. Т. Тулебиев, Е. В. Дашкевич",Атамұра,2018,Русский,http://books.atamura.kz/oc/index.php/s/Ac6QzfOFs7Wopx7,72.jpg,72.pdf,128,,,,0
